team_id,alias,normalized_alias,provider_name,alias_type,priority,active,notes
ind,ind,ind,,common,1,true,Canonical lowercase abbreviation
ind,IND,ind,,abbreviation,1,true,Canonical uppercase abbreviation
ind,Indianapolis Colts,indianapoliscolts,,full_name,1,true,Full team name
ind,Indianapolis,indianapolis,,city,1,true,City name
ind,Colts,colts,,nickname,1,true,Nickname
jax,jax,jax,,common,1,true,Canonical lowercase abbreviation
jax,JAX,jax,,abbreviation,1,true,Canonical uppercase abbreviation
jax,Jacksonville Jaguars,jacksonvillejaguars,,full_name,1,true,Full team name
jax,Jacksonville,jacksonville,,city,1,true,City name
jax,Jaguars,jaguars,,nickname,1,true,Nickname
jax,JAC,jac,,abbreviation,1,true,Alternative abbreviation
kc,kc,kc,,common,1,true,Canonical lowercase abbreviation
kc,KC,kc,,abbreviation,1,true,Canonical uppercase abbreviation
kc,Kansas City Chiefs,kansascitychiefs,,full_name,1,true,Full team name
kc,Kansas City,kansascity,,city,1,true,City name
kc,Chiefs,chiefs,,nickname,1,true,Nickname
kc,KAN,kan,,abbreviation,1,true,Alternative abbreviation
lac,lac,lac,,common,1,true,Canonical lowercase abbreviation
lac,LAC,lac,,abbreviation,1,true,Canonical uppercase abbreviation
lac,Los Angeles Chargers,losangeleschargers,,full_name,1,true,Full team name
lac,Los Angeles,losangeles,,city,1,true,City name
lac,Chargers,chargers,,nickname,1,true,Nickname
lac,LA Chargers,lachargers,,common,1,true,Alternative abbreviation
lac,San Diego Chargers,sandiegochargers,,historical,1,true,Historical name
lac,SD,sd,,abbreviation,1,true,Alternative abbreviation
lar,lar,lar,,common,1,true,Canonical lowercase abbreviation
lar,LAR,lar,,abbreviation,1,true,Canonical uppercase abbreviation
lar,Los Angeles Rams,losangelesrams,,full_name,1,true,Full team name
lar,Los Angeles,losangeles,,city,1,true,City name
lar,Rams,rams,,nickname,1,true,Nickname
lar,LA Rams,larams,,common,1,true,Alternative abbreviation
lar,St Louis Rams,stlouisrams,,historical,1,true,Historical name
lar,STL,stl,,abbreviation,1,true,Alternative abbreviation
lv,lv,lv,,common,1,true,Canonical lowercase abbreviation
lv,LV,lv,,abbreviation,1,true,Canonical uppercase abbreviation
lv,Las Vegas Raiders,lasvegasraiders,,full_name,1,true,Full team name
lv,Las Vegas,lasvegas,,city,1,true,City name
lv,Raiders,raiders,,nickname,1,true,Nickname
lv,Vegas Raiders,vegasraiders,,common,1,true,Alternative abbreviation
lv,Oakland Raiders,oaklandraiders,,historical,1,true,Historical name
lv,LVR,lvr,,abbreviation,1,true,Alternative abbreviation
mia,mia,mia,,common,1,true,Canonical lowercase abbreviation
mia,MIA,mia,,abbreviation,1,true,Canonical uppercase abbreviation
mia,Miami Dolphins,miamidolphins,,full_name,1,true,Full team name
mia,Miami,miami,,city,1,true,City name
mia,Dolphins,dolphins,,nickname,1,true,Nickname
min,min,min,,common,1,true,Canonical lowercase abbreviation
min,MIN,min,,abbreviation,1,true,Canonical uppercase abbreviation
min,Minnesota Vikings,minnesotavikings,,full_name,1,true,Full team name
min,Minnesota,minnesota,,city,1,true,City name
min,Vikings,vikings,,nickname,1,true,Nickname
ne,ne,ne,,common,1,true,Canonical lowercase abbreviation
ne,NE,ne,,abbreviation,1,true,Canonical uppercase abbreviation
ne,New England Patriots,newenglandpatriots,,full_name,1,true,Full team name
ne,New England,newengland,,city,1,true,City name
ne,Patriots,patriots,,nickname,1,true,Nickname
ne,NWE,nwe,,abbreviation,1,true,Alternative abbreviation
no,no,no,,common,1,true,Canonical lowercase abbreviation
no,NO,no,,abbreviation,1,true,Canonical uppercase abbreviation
no,New Orleans Saints,neworleanssaints,,full_name,1,true,Full team name
no,New Orleans,neworleans,,city,1,true,City name
no,Saints,saints,,nickname,1,true,Nickname
no,NOR,nor,,abbreviation,1,true,Alternative abbreviation
nyg,nyg,nyg,,common,1,true,Canonical lowercase abbreviation
nyg,NYG,nyg,,abbreviation,1,true,Canonical uppercase abbreviation
nyg,New York Giants,newyorkgiants,,full_name,1,true,Full team name
nyg,New York,newyork,,city,1,true,City name
nyg,Giants,giants,,nickname,1,true,Nickname
nyj,nyj,nyj,,common,1,true,Canonical lowercase abbreviation
nyj,NYJ,nyj,,abbreviation,1,true,Canonical uppercase abbreviation
nyj,New York Jets,newyorkjets,,full_name,1,true,Full team name
nyj,New York,newyork,,city,1,true,City name
nyj,Jets,jets,,nickname,1,true,Nickname
phi,phi,phi,,common,1,true,Canonical lowercase abbreviation
phi,PHI,phi,,abbreviation,1,true,Canonical uppercase abbreviation
phi,Philadelphia Eagles,philadelphiaeagles,,full_name,1,true,Full team name
phi,Philadelphia,philadelphia,,city,1,true,City name
phi,Eagles,eagles,,nickname,1,true,Nickname
pit,pit,pit,,common,1,true,Canonical lowercase abbreviation
pit,PIT,pit,,abbreviation,1,true,Canonical uppercase abbreviation
pit,Pittsburgh Steelers,pittsburghsteelers,,full_name,1,true,Full team name
pit,Pittsburgh,pittsburgh,,city,1,true,City name
pit,Steelers,steelers,,nickname,1,true,Nickname
sea,sea,sea,,common,1,true,Canonical lowercase abbreviation
sea,SEA,sea,,abbreviation,1,true,Canonical uppercase abbreviation
sea,Seattle Seahawks,seattleseahawks,,full_name,1,true,Full team name
sea,Seattle,seattle,,city,1,true,City name
sea,Seahawks,seahawks,,nickname,1,true,Nickname
sf,sf,sf,,common,1,true,Canonical lowercase abbreviation
sf,SF,sf,,abbreviation,1,true,Canonical uppercase abbreviation
sf,San Francisco 49ers,sanfrancisco49ers,,full_name,1,true,Full team name
sf,San Francisco,sanfrancisco,,city,1,true,City name
sf,49ers,49ers,,nickname,1,true,Nickname
sf,SFO,sfo,,abbreviation,1,true,Alternative abbreviation
sf,Niners,niners,,nickname,1,true,Alternative nickname
tb,tb,tb,,common,1,true,Canonical lowercase abbreviation
tb,TB,tb,,abbreviation,1,true,Canonical uppercase abbreviation
tb,Tampa Bay Buccaneers,tampabaybuccaneers,,full_name,1,true,Full team name
tb,Tampa Bay,tampabay,,city,1,true,City name
tb,Buccaneers,buccaneers,,nickname,1,true,Nickname
tb,TBB,tbb,,abbreviation,1,true,Alternative abbreviation
tb,Bucs,bucs,,nickname,1,true,Alternative nickname
ten,ten,ten,,common,1,true,Canonical lowercase abbreviation
ten,TEN,ten,,abbreviation,1,true,Canonical uppercase abbreviation
ten,Tennessee Titans,tennesseetitans,,full_name,1,true,Full team name
ten,Tennessee,tennessee,,city,1,true,City name
ten,Titans,titans,,nickname,1,true,Nickname
ten,Houston Oilers,houstonoilers,,historical,1,true,Historical name
was,was,was,,common,1,true,Canonical lowercase abbreviation
was,WAS,was,,abbreviation,1,true,Canonical uppercase abbreviation
was,Washington Commanders,washingtoncommanders,,full_name,1,true,Full team name
was,Washington,washington,,city,1,true,City name
was,Commanders,commanders,,nickname,1,true,Nickname
was,WSH,wsh,,abbreviation,1,true,Alternative abbreviation
was,Washington Football Team,washingtonfootballteam,,historical,1,true,Historical name
was,Football Team,footballteam,,nickname,1,true,Alternative nickname
was,Redskins,redskins,,historical,1,true,Historical name
